Manufacturer,Model,Variant,ICAO,Fuel Type,L Tip,L Main,Center,R Main,R Tip,Aft,Total Usable,Fuel Selector,Special Notes
Cessna,172 Skyhawk,Late Models (S),C172,AVGAS 100LL,,26.5,,26.5,,,53,BOTH,BOTH normally used; not true crossfeed. Earlier models differ.
Cessna,182 Skylane,Later Models,C182,AVGAS 100LL,,44,,44,,,88,BOTH,BOTH available; some POHs specify BOTH for normal ops.
Cessna,210 Centurion,,C210,AVGAS 100LL,,45,,44,,,89,L/R/OFF,No BOTH. Some versions use aux tanks that transfer (often to right).
Piper,PA-28-140 Cherokee,,PA28,AVGAS 100LL,,18,,18,,,36,L/R/OFF,No BOTH. Small unusable fuel varies by year - verify POH.
Piper,PA-28-180 Cherokee,,PA28,AVGAS 100LL,,24,,24,,,48,L/R/OFF,No BOTH. Verify early vs later POHs for exact usable.
Piper,PA-28-181 Archer,,PA28,AVGAS 100LL,,24,,24,,,48,L/R/OFF,No BOTH. Very consistent across fleet.
Piper,PA-28R-180 Arrow I,Hershey Bar Wing,PA28,AVGAS 100LL,,24,,24,,,48,L/R/OFF,No BOTH. Same fuel logic as other PA-28s.
Piper,PA-28R-200 Arrow II,Hershey Bar Wing,PA28,AVGAS 100LL,,24,,24,,,48,L/R/OFF,No BOTH. Wing planform does not change fuel logic.
Piper,PA-32-260 Cherokee Six,84 Gal (4 Tanks),PA32,AVGAS 100LL,17,25,,25,17,,84,Individual Tank,No BOTH. Selector chooses individual tank. Slight unusable varies by POH.
Piper,PA-32 Saratoga,Fixed Gear,PA32,AVGAS 100LL,,51,,51,,,102,L/R/OFF,No BOTH. Some sources quote 107 total with ~5 unusable.
Piper,PA-32R-300 Lance,Retractable,PA32,AVGAS 100LL,,47,,47,,,94,L/R/OFF,No BOTH. Retractable gear version of PA-32.
Beechcraft,Bonanza 35 (V-Tail),Standard (No Tips),BE35,AVGAS 100LL,,20,,20,,,40,L/R/OFF,No BOTH. Wing root tanks. No tip tanks.
Beechcraft,Bonanza 35 (V-Tail),With 20 Gal Tips,BE35,AVGAS 100LL,10,20,,20,10,,60,L/R/OFF,Tips TRANSFER ONLY - do not feed engine directly. Must transfer to mains or overboard venting.
Beechcraft,Bonanza 35 (V-Tail),With 40 Gal Tips,BE35,AVGAS 100LL,20,20,,20,20,,80,L/R/OFF,Tips TRANSFER ONLY. Must have room in mains. Tips transfer slower than burn.
Beechcraft,Bonanza 33 / F33,Standard (No Tips),BE33,AVGAS 100LL,,25,,25,,,50,L/R/OFF,No BOTH. Straight-tail Debonair. Standard mains only.
Beechcraft,Bonanza 33 / F33,With Tips (70-80 Gal),BE33,AVGAS 100LL,10,25,,25,10,,70,L/R/OFF,Tips TRANSFER via electrical pumps. Imbalance risk if transfer to one side repeatedly.
Beechcraft,A36 / G36 Bonanza,Standard (No Tips),BE36,AVGAS 100LL,,37,,37,,,74,L/R/OFF,No BOTH. Long-body. Large mains only.
Beechcraft,A36 / G36 Bonanza,With 20 Gal Tips,BE36,AVGAS 100LL,10,37,,37,10,,94,L/R/OFF,Tips TRANSFER ONLY. Can out-range bladder. Aft CG sensitivity with high fuel loads.
Beechcraft,A36 / G36 Bonanza,With 40 Gal Tips,BE36,AVGAS 100LL,20,37,,37,20,,114,L/R/OFF,Tips TRANSFER ONLY. Can dump overboard if transfer too long. Electrical load concern.
Beechcraft,B36TC Bonanza (Turbo),Standard (No Tips),BE36,AVGAS 100LL,,37,,37,,,74,L/R/OFF,Turbo. Higher fuel burn - tip transfer timing critical in climb.
Beechcraft,B36TC Bonanza (Turbo),With Tips (110+ Gal),BE36,AVGAS 100LL,18,37,,37,18,,110,L/R/OFF,Tips TRANSFER ONLY. Turbo = higher burn. Transfer timing CRITICAL in climb.
Mooney,M20C,,M20C,AVGAS 100LL,,24,,24,,,48,L/R/OFF,No BOTH. Some docs list 52 total with ~4 unusable.
Mooney,M20J,,M20J,AVGAS 100LL,,32,,32,,,64,L/R/OFF,No BOTH. Very consistent across J models.
Mooney,M20R Ovation,,M20R,AVGAS 100LL,,44.5,,44.5,,,89,L/R/OFF,No BOTH. Confirm exact usable per POH and mods.
